Sex	Age	Good	Valence	Level of Agreement NP	Level of Confidence NP	Level of Agreement NF	Level of Confidence NF
noAnswer	45	Hedonic	Negative	3	6	6	5
Female	34	Hedonic	Positive	3	6	7	7
Male	33	Hedonic	Positive	3	6	7	7
Male	24	Hedonic	Positive	3	7	6	7
Male	25	Hedonic	Negative	3	7	7	6
Female	50	Hedonic	Positive	3	7	7	7
Male	28	Hedonic	Positive	4	1	3	6
Female	32	Hedonic	Positive	4	1	4	1
Female	45	Hedonic	Positive	4	1	7	7
Female	35	Hedonic	Negative	4	2	1	6
Female	51	Hedonic	Positive	4	2	1	7
Male	43	Hedonic	Negative	4	2	6	3
Male	46	Hedonic	Negative	4	2	6	4
Male	23	Hedonic	Negative	4	2	6	6
Male	29	Hedonic	Negative	4	3	2	5
Male	36	Hedonic	Negative	4	3	2	7
Male	29	Hedonic	Negative	4	3	5	4
Female	28	Hedonic	Negative	4	3	5	6
Male	33	Hedonic	Positive	4	3	7	7
Female	48	Hedonic	Negative	4	4	1	6
Male	30	Hedonic	Negative	4	4	2	6
Male	29	Hedonic	Negative	4	4	2	6
Female	25	Hedonic	Positive	4	4	3	5
Male	26	Hedonic	Negative	4	4	4	4
Female	24	Hedonic	Negative	4	4	4	4
Male	26	Hedonic	Positive	4	4	4	4
Male	30	Hedonic	Positive	4	4	4	5
Female	34	Hedonic	Negative	4	4	5	3
Male	30	Hedonic	Negative	4	4	5	6
Male	31	Hedonic	Negative	4	4	7	7
Male	35	Hedonic	Positive	4	4	7	7
Female	35	Hedonic	Negative	4	5	2	6
Male	34	Hedonic	Negative	4	5	3	5
Male	55	Hedonic	Positive	4	5	3	5
Female	38	Hedonic	Negative	4	5	3	6
Female	43	Hedonic	Positive	4	5	3	6
Female	35	Hedonic	Positive	4	5	4	3
Male	28	Hedonic	Negative	4	5	5	3
Female	43	Hedonic	Positive	4	5	5	4
Male	42	Hedonic	Negative	4	5	5	6
Female	28	Hedonic	Negative	4	5	5	6
Male	25	Hedonic	Positive	4	5	7	7
Female	50	Hedonic	Negative	4	6	1	7
Male	33	Hedonic	Positive	4	6	2	5
Female	66	Hedonic	Negative	4	6	2	6
Male	36	Hedonic	Positive	4	6	4	6
Female	28	Hedonic	Positive	4	6	5	6
Female	28	Hedonic	Negative	4	6	6	6
Female	29	Hedonic	Positive	4	6	7	6
Male	46	Hedonic	Negative	4	7	1	7
Female	47	Hedonic	Negative	4	7	1	7
Female	63	Hedonic	Positive	4	7	3	5
Male	65	Hedonic	Positive	4	7	4	7
Male	51	Hedonic	Negative	4	7	5	6
Male	33	Hedonic	Negative	4	7	5	6
Male	36	Hedonic	Negative	4	7	7	6
Female	28	Hedonic	Positive	4	7	7	6
Male	38	Hedonic	Positive	5	2	7	7
Male	27	Hedonic	Negative	5	3	3	3
Male	27	Hedonic	Negative	5	3	5	5
Female	24	Hedonic	Positive	5	3	6	7
Male	30	Hedonic	Positive	5	4	3	3
Male	38	Hedonic	Positive	5	4	3	4
Male	28	Hedonic	Positive	5	4	3	5
Male	26	Hedonic	Negative	5	4	3	6
Male	21	Hedonic	Positive	5	4	4	4
Female	25	Hedonic	Positive	5	4	5	1
Male	21	Hedonic	Negative	5	4	5	4
Female	25	Hedonic	Negative	5	4	5	4
Male	30	Hedonic	Negative	5	4	5	4
Male	26	Hedonic	Positive	5	4	5	4
Male	32	Hedonic	Negative	5	5	1	6
Female	32	Hedonic	Positive	5	5	2	6
Female	44	Hedonic	Negative	5	5	3	5
Male	34	Hedonic	Positive	5	5	3	5
Male	35	Hedonic	Negative	5	5	5	5
Male	22	Hedonic	Positive	5	5	5	5
noAnswer	45	Hedonic	Positive	5	5	6	6
Female	39	Hedonic	Negative	5	6	1	6
Female	52	Hedonic	Negative	5	6	2	4
Female	30	Hedonic	Negative	5	6	2	5
Female	57	Hedonic	Negative	5	6	2	6
Male	30	Hedonic	Positive	5	6	2	6
Male	54	Hedonic	Positive	5	6	2	6
Male	26	Hedonic	Negative	5	6	4	5
Male	28	Hedonic	Negative	5	6	5	5
Female	31	Hedonic	Negative	5	6	5	6
Male	49	Hedonic	Negative	5	6	6	6
Male	35	Hedonic	Negative	5	6	7	5
Male	31	Hedonic	Positive	5	6	7	7
Male	33	Hedonic	Negative	5	7	1	7
Male	52	Hedonic	Positive	5	7	4	7
Female	23	Hedonic	Positive	5	7	4	7
Male	7	Hedonic	Negative	6	1	7	1
Male	30	Hedonic	Positive	6	3	7	6
Male	32	Hedonic	Positive	6	4	4	2
Male	32	Hedonic	Negative	6	5	1	7
Female	23	Hedonic	Positive	6	5	1	7
Male	22	Hedonic	Positive	6	5	2	5
Male	26	Hedonic	Positive	6	5	3	5
Male	33	Hedonic	Negative	6	5	5	6
Male	40	Hedonic	Positive	6	5	7	5
Male	29	Hedonic	Negative	6	5	7	7
Female	47	Hedonic	Negative	6	6	1	7
Male	33	Hedonic	Negative	6	6	1	7
Male	50	Hedonic	Negative	6	6	1	7
Male	26	Hedonic	Positive	6	6	1	7
Male	38	Hedonic	Negative	6	6	2	5
Male	26	Hedonic	Negative	6	6	2	5
Male	35	Hedonic	Negative	6	6	2	6
Male	38	Hedonic	Negative	6	6	2	6
Female	67	Hedonic	Positive	6	6	2	6
Female	48	Hedonic	Positive	6	6	5	3
Female	45	Hedonic	Positive	6	6	5	6
Male	28	Hedonic	Negative	6	6	6	6
Female	33	Hedonic	Positive	6	6	7	6
Female	54	Hedonic	Positive	6	6	7	6
Female	39	Hedonic	Positive	6	6	7	7
Female	34	Hedonic	Negative	6	7	2	6
Female	34	Hedonic	Positive	6	7	2	7
Male	31	Hedonic	Positive	6	7	2	7
Male	25	Hedonic	Negative	6	7	3	5
Male	44	Hedonic	Positive	6	7	5	7
Male	25	Hedonic	Positive	6	7	7	6
Male	25	Hedonic	Positive	6	7	7	6
Male	28	Hedonic	Positive	7	1	7	4
Female	45	Hedonic	Positive	7	2	1	6
Male	54	Hedonic	Positive	7	2	3	7
Female	58	Hedonic	Positive	7	3	7	7
Male	76	Hedonic	Positive	7	4	6	4
Male	24	Hedonic	Positive	7	5	5	5
Male	43	Hedonic	Negative	7	5	7	7
Female	44	Hedonic	Positive	7	5	7	7
Male	27	Hedonic	Positive	7	6	2	6
Male	48	Hedonic	Positive	7	6	4	5
Female	43	Hedonic	Negative	7	7	1	7
Male	35	Hedonic	Negative	7	7	1	7
Male	26	Hedonic	Negative	7	7	1	7
Male	38	Hedonic	Negative	7	7	1	7
Male	61	Hedonic	Negative	7	7	1	7
Male	34	Hedonic	Positive	7	7	1	7
Female	23	Hedonic	Positive	7	7	1	7
Male	27	Hedonic	Positive	7	7	1	7
Male	70	Hedonic	Positive	7	7	1	7
Male	26	Hedonic	Positive	7	7	1	7
Male	36	Hedonic	Negative	7	7	3	6
Female	35	Hedonic	Positive	7	7	4	4
Female	23	Hedonic	Positive	7	7	5	7
Female	32	Hedonic	Positive	7	7	6	4
Male	38	Hedonic	Negative	7	7	6	6
Female	31	Hedonic	Negative	7	7	6	6
Male	65	Hedonic	Positive	7	7	7	6
Female	56	Hedonic	Negative	7	7	7	7
Male	48	Hedonic	Negative	7	7	7	7
Female	48	Hedonic	Negative	7	7	7	7
Female	32	Hedonic	Positive	7	7	7	7
Female	31	Hedonic	Positive	7	7	7	7
Female	35	Hedonic	Positive	7	7	7	7
Male	29	Hedonic	Positive	7	7	7	7
Male	26	Hedonic	Positive	7	7	7	7
Male	36	Hedonic	Positive	7	7	7	7
Female	33	Hedonic	Positive	7	7	7	7
Female	51	Hedonic	Positive	7	7	7	7
Male	28	Hedonic	Positive	7	7	7	7
Male	60	Hedonic	Positive	7	7	7	7
Male	42	Non-Hedonic	Negative	1	1	3	3
Male	44	Non-Hedonic	Positive	1	1	6	6
Female	56	Non-Hedonic	Positive	1	1	7	1
Male	36	Non-Hedonic	Negative	1	4	1	4
Female	49	Non-Hedonic	Negative	1	4	7	4
Male	27	Non-Hedonic	Negative	1	5	5	3
Female	28	Non-Hedonic	Negative	1	5	6	5
noAnswer	20	Non-Hedonic	Negative	1	5	7	7
Male	32	Non-Hedonic	Negative	1	6	1	4
Male	46	Non-Hedonic	Negative	1	6	1	6
Female	65	Non-Hedonic	Positive	1	6	1	6
Male	25	Non-Hedonic	Negative	1	6	2	5
Male	38	Non-Hedonic	Negative	1	6	3	5
Male	29	Non-Hedonic	Negative	1	6	3	5
Female	34	Non-Hedonic	Positive	1	6	4	3
Male	32	Non-Hedonic	Negative	1	6	4	6
Female	31	Non-Hedonic	Negative	1	6	6	3
Male	33	Non-Hedonic	Negative	1	6	6	5
Male	25	Non-Hedonic	Positive	1	6	6	6
Female	32	Non-Hedonic	Negative	1	7	1	6
Female	35	Non-Hedonic	Negative	1	7	1	6
Male	26	Non-Hedonic	Negative	1	7	1	6
Male	25	Non-Hedonic	Negative	1	7	1	6
Male	26	Non-Hedonic	Positive	1	7	1	6
Female	30	Non-Hedonic	Negative	1	7	1	7
Male	21	Non-Hedonic	Negative	1	7	1	7
Female	43	Non-Hedonic	Negative	1	7	1	7
Female	27	Non-Hedonic	Negative	1	7	1	7
Female	32	Non-Hedonic	Negative	1	7	1	7
Male	32	Non-Hedonic	Positive	1	7	1	7
Male	27	Non-Hedonic	Positive	1	7	1	7
Male	26	Non-Hedonic	Positive	1	7	1	7
Female	43	Non-Hedonic	Positive	1	7	2	6
Male	27	Non-Hedonic	Negative	1	7	4	4
Male	22	Non-Hedonic	Negative	1	7	4	5
Male	28	Non-Hedonic	Negative	1	7	4	6
Female	34	Non-Hedonic	Positive	1	7	4	6
Male	27	Non-Hedonic	Negative	1	7	4	7
Male	22	Non-Hedonic	Negative	1	7	6	6
Male	23	Non-Hedonic	Positive	1	7	6	6
Male	25	Non-Hedonic	Positive	1	7	6	7
Female	52	Non-Hedonic	Negative	1	7	7	5
Female	47	Non-Hedonic	Negative	1	7	7	7
Female	57	Non-Hedonic	Negative	1	7	7	7
Female	35	Non-Hedonic	Negative	1	7	7	7
Female	34	Non-Hedonic	Negative	1	7	7	7
Female	47	Non-Hedonic	Negative	1	7	7	7
Male	24	Non-Hedonic	Negative	1	7	7	7
Male	47	Non-Hedonic	Negative	1	7	7	7
Male	38	Non-Hedonic	Negative	1	7	7	7
Female	23	Non-Hedonic	Positive	1	7	7	7
Female	23	Non-Hedonic	Positive	1	7	7	7
Male	40	Non-Hedonic	Positive	1	7	7	7
Female	53	Non-Hedonic	Positive	1	7	7	7
Female	51	Non-Hedonic	Positive	1	7	7	7
Male	48	Non-Hedonic	Positive	1	7	7	7
Male	27	Non-Hedonic	Negative	2	2	2	4
Female	32	Non-Hedonic	Positive	2	2	3	1
Male	47	Non-Hedonic	Positive	2	3	4	2
Female	31	Non-Hedonic	Negative	2	3	6	5
Male	28	Non-Hedonic	Negative	2	4	1	7
Female	54	Non-Hedonic	Positive	2	4	2	6
Female	58	Non-Hedonic	Negative	2	4	5	2
Male	64	Non-Hedonic	Negative	2	5	1	4
Female	46	Non-Hedonic	Negative	2	5	1	4
Male	26	Non-Hedonic	Positive	2	5	1	6
Female	48	Non-Hedonic	Negative	2	5	2	5
Male	26	Non-Hedonic	Negative	2	5	2	5
Male	35	Non-Hedonic	Positive	2	5	3	5
Female	28	Non-Hedonic	Positive	2	5	3	6
Male	25	Non-Hedonic	Positive	2	5	3	7
Male	41	Non-Hedonic	Negative	2	5	4	3
Male	23	Non-Hedonic	Negative	2	5	5	6
Male	34	Non-Hedonic	Positive	2	5	6	5
Male	36	Non-Hedonic	Positive	2	5	7	5
Male	28	Non-Hedonic	Negative	2	6	1	6
Male	59	Non-Hedonic	Negative	2	6	1	7
Male	43	Non-Hedonic	Negative	2	6	2	6
Female	28	Non-Hedonic	Positive	2	6	2	6
Male	33	Non-Hedonic	Positive	2	6	2	7
Female	32	Non-Hedonic	Negative	2	6	3	6
Male	23	Non-Hedonic	Negative	2	6	3	7
Female	22	Non-Hedonic	Negative	2	6	5	4
Female	67	Non-Hedonic	Negative	2	6	6	6
Female	37	Non-Hedonic	Negative	2	7	5	6
Male	21	Non-Hedonic	Positive	3	3	3	2
Male	66	Non-Hedonic	Positive	3	3	3	5
Male	69	Non-Hedonic	Positive	3	3	6	3
Female	38	Non-Hedonic	Positive	3	3	6	6
Female	25	Non-Hedonic	Positive	3	4	3	3
Female	37	Non-Hedonic	Positive	3	4	3	6
Male	30	Non-Hedonic	Positive	3	4	4	5
Male	33	Non-Hedonic	Positive	3	4	5	4
Male	24	Non-Hedonic	Positive	3	4	5	5
Male	53	Non-Hedonic	Negative	3	5	3	5
Male	21	Non-Hedonic	Positive	3	5	3	5
Female	38	Non-Hedonic	Positive	3	5	4	3
Male	29	Non-Hedonic	Positive	3	5	4	3
Male	36	Non-Hedonic	Negative	3	5	4	6
Male	55	Non-Hedonic	Positive	3	5	5	6
Male	38	Non-Hedonic	Positive	3	6	1	7
Female	38	Non-Hedonic	Negative	3	6	4	6
Female	57	Non-Hedonic	Negative	3	6	7	7
Male	30	Non-Hedonic	Negative	3	7	2	6
Female	29	Non-Hedonic	Positive	3	7	5	7
Male	40	Non-Hedonic	Positive	4	1	4	1
Female	49	Non-Hedonic	Negative	4	2	1	3
Female	27	Non-Hedonic	Positive	4	2	3	5
Male	46	Non-Hedonic	Positive	4	2	4	2
Female	37	Non-Hedonic	Negative	4	2	7	6
Female	34	Non-Hedonic	Positive	4	3	3	3
Male	27	Non-Hedonic	Negative	4	3	3	4
Male	22	Non-Hedonic	Negative	4	3	3	6
Male	25	Non-Hedonic	Positive	4	3	4	2
Male	25	Non-Hedonic	Negative	4	3	4	3
Male	43	Non-Hedonic	Positive	4	4	2	6
Female	24	Non-Hedonic	Negative	4	4	3	5
Male	38	Non-Hedonic	Negative	4	4	4	4
Female	63	Non-Hedonic	Negative	4	4	4	4
Male	25	Non-Hedonic	Negative	4	4	4	4
Female	25	Non-Hedonic	Negative	4	4	4	4
noAnswer	37	Non-Hedonic	Positive	4	4	4	4
Male	38	Non-Hedonic	Positive	4	4	4	4
Male	41	Non-Hedonic	Positive	4	4	4	4
Female	27	Non-Hedonic	Positive	4	4	4	4
Female	53	Non-Hedonic	Positive	4	4	4	4
Male	33	Non-Hedonic	Positive	4	4	4	4
Female	54	Non-Hedonic	Positive	4	4	4	5
Female	56	Non-Hedonic	Negative	4	4	4	7
Female	62	Non-Hedonic	Positive	4	4	5	5
Male	22	Non-Hedonic	Positive	4	4	5	5
Female	33	Non-Hedonic	Positive	4	4	5	5
Male	48	Non-Hedonic	Positive	4	4	6	5
Male	68	Non-Hedonic	Positive	4	4	6	7
Female	50	Non-Hedonic	Positive	4	4	7	7
Male	38	Non-Hedonic	Negative	4	5	1	4
Female	27	Non-Hedonic	Negative	4	5	2	6
Female	59	Non-Hedonic	Negative	4	5	4	3
Male	30	Non-Hedonic	Negative	4	5	4	3
Male	30	Non-Hedonic	Negative	4	5	4	4
Male	33	Non-Hedonic	Positive	4	5	4	4
Male	29	Non-Hedonic	Negative	4	5	4	5
Female	33	Non-Hedonic	Positive	4	5	4	5
Male	29	Non-Hedonic	Positive	4	5	4	5
Male	38	Non-Hedonic	Positive	4	5	4	6
Male	38	Non-Hedonic	Negative	4	5	6	5
Female	31	Non-Hedonic	Negative	4	6	3	6
Female	52	Non-Hedonic	Positive	4	6	3	6
Male	43	Non-Hedonic	Negative	4	6	4	6
Male	25	Non-Hedonic	Negative	4	6	4	6
Male	32	Non-Hedonic	Positive	4	6	4	6
Female	32	Non-Hedonic	Negative	4	7	4	7
Female	63	Non-Hedonic	Negative	4	7	4	7
Female	22	Non-Hedonic	Negative	4	7	4	7
Female	28	Non-Hedonic	Negative	4	7	4	7
Male	35	Non-Hedonic	Positive	4	7	4	7
Male	28	Non-Hedonic	Positive	4	7	4	7
Male	32	Non-Hedonic	Positive	4	7	4	7
Female	45	Non-Hedonic	Positive	4	7	4	7
Male	31	Non-Hedonic	Positive	4	7	7	5
Female	54	Non-Hedonic	Positive	5	3	2	5
Female	30	Non-Hedonic	Negative	5	4	2	5
Male	23	Non-Hedonic	Negative	5	4	4	3
Male	52	Non-Hedonic	Positive	5	4	5	3
Male	35	Non-Hedonic	Negative	5	4	5	5
Male	33	Non-Hedonic	Positive	5	5	2	3
Male	33	Non-Hedonic	Negative	5	5	2	5
Female	43	Non-Hedonic	Positive	5	5	2	6
Female	61	Non-Hedonic	Negative	5	5	3	4
Male	25	Non-Hedonic	Negative	5	5	3	5
Male	40	Non-Hedonic	Positive	5	5	3	6
Male	38	Non-Hedonic	Positive	5	5	4	2
Male	22	Non-Hedonic	Negative	5	5	5	6
Male	27	Non-Hedonic	Positive	5	5	6	4
Female	50	Non-Hedonic	Negative	5	6	1	7
Male	28	Non-Hedonic	Positive	5	6	3	5
Male	26	Non-Hedonic	Positive	5	6	4	6
Male	34	Non-Hedonic	Positive	5	6	5	6
Male	83	Non-Hedonic	Positive	5	6	6	7
Male	51	Non-Hedonic	Positive	5	7	3	7
Male	26	Non-Hedonic	Positive	6	3	3	5
Male	63	Non-Hedonic	Positive	6	4	2	4
Male	45	Non-Hedonic	Negative	6	4	2	5
Female	33	Non-Hedonic	Negative	6	4	3	2
Male	46	Non-Hedonic	Positive	6	4	5	5
Male	34	Non-Hedonic	Negative	6	5	1	6
Male	32	Non-Hedonic	Positive	6	5	4	3
Female	34	Non-Hedonic	Positive	6	5	5	5
Male	27	Non-Hedonic	Positive	6	5	5	5
Male	49	Non-Hedonic	Positive	6	5	6	5
Male	23	Non-Hedonic	Positive	6	5	6	5
Male	37	Non-Hedonic	Negative	6	5	7	6
Male	23	Non-Hedonic	Positive	6	6	2	5
Male	31	Non-Hedonic	Positive	6	6	2	5
Male	65	Non-Hedonic	Positive	6	6	4	6
Male	23	Non-Hedonic	Negative	6	6	5	5
Female	25	Non-Hedonic	Positive	6	6	5	6
Female	39	Non-Hedonic	Positive	6	6	6	5
Male	22	Non-Hedonic	Positive	6	6	6	6
Male	70	Non-Hedonic	Positive	6	6	6	6
Female	49	Non-Hedonic	Positive	6	6	6	6
Male	25	Non-Hedonic	Negative	6	6	7	5
Female	64	Non-Hedonic	Positive	6	7	2	6
Male	26	Non-Hedonic	Positive	6	7	2	6
Female	28	Non-Hedonic	Positive	6	7	6	7
Male	25	Non-Hedonic	Negative	6	7	7	6
Male	61	Non-Hedonic	Positive	7	1	1	1
Female	45	Non-Hedonic	Negative	7	1	7	1
Female	35	Non-Hedonic	Positive	7	2	4	3
Female	69	Non-Hedonic	Negative	7	5	2	5
Female	50	Non-Hedonic	Positive	7	5	2	6
Male	22	Non-Hedonic	Positive	7	6	1	6
Female	54	Non-Hedonic	Negative	7	6	1	7
Male	30	Non-Hedonic	Positive	7	6	2	4
Male	29	Non-Hedonic	Positive	7	6	6	5
Male	25	Non-Hedonic	Negative	7	6	6	7
Male	26	Non-Hedonic	Negative	7	6	7	7
Male	35	Non-Hedonic	Negative	7	7	1	7
Male	31	Non-Hedonic	Negative	7	7	1	7
Female	55	Non-Hedonic	Negative	7	7	1	7
Female	45	Non-Hedonic	Negative	7	7	1	7
Female	60	Non-Hedonic	Positive	7	7	1	7
Female	45	Non-Hedonic	Positive	7	7	1	7
Male	30	Non-Hedonic	Positive	7	7	1	7
Male	34	Non-Hedonic	Positive	7	7	1	7
Female	54	Non-Hedonic	Positive	7	7	2	6
Male	24	Non-Hedonic	Positive	7	7	2	7
Female	32	Non-Hedonic	Negative	7	7	3	7
Female	42	Non-Hedonic	Negative	7	7	4	6
Male	26	Non-Hedonic	Negative	7	7	6	6
Female	51	Non-Hedonic	Positive	7	7	6	7
Male	45	Non-Hedonic	Positive	7	7	6	7
Female	43	Non-Hedonic	Negative	7	7	7	6
Female	57	Non-Hedonic	Negative	7	7	7	7
Male	26	Non-Hedonic	Negative	7	7	7	7
Male	60	Non-Hedonic	Negative	7	7	7	7
Female	29	Non-Hedonic	Negative	7	7	7	7
Female	55	Non-Hedonic	Negative	7	7	7	7
Female	40	Non-Hedonic	Positive	7	7	7	7
Female	53	Non-Hedonic	Positive	7	7	7	7
